taxonomy	ASV_ID	X1092	X1094	X1097	X1103	X1117	X1193	X1201	X1245	X1246	X1247	X1254	X1255	X1256	X1264	X1266	X1271	X1272	X1277	X1296	X1303	X1315	X1319	X1324	X1326	X1396	X1398	X1415	X1428	X1430	X1435	X1482	X1492	X1505	X1506	X1512	X1523	X1536	X1543	X1548	X1549	X1552	X1555	X1558	X1559	X1560	X1578	X1580	X1581	X1602	X1626	X1632	X1637	X1641	X1651	X1669	X1674	X1682	X1712	X1714	X1715	X1717	X1719	X1736	X1765	X1770	X1781	X1834	X1838	X1839	X1851	X1896	X2037	X2086	X2088	X2091	X2092	X2213	X2223	X277	X328	X480	X535	X536
"Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Nocardiaceae;Rhodococcus"	ASV38	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	17839	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	49	0
"Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Nocardiaceae;Rhodococcus"	ASV444	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Nocardiaceae;Rhodococcus"	ASV515	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Nocardiaceae;Rhodococcus"	ASV533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Nocardiaceae;Rhodococcus"	ASV558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Tsukamurellaceae;Tsukamurella"	ASV5	0	1994	51	0	0	0	0	112	0	0	156	0	36	51	0	8680	0	0	0	0	0	238	0	12	0	1616	0	0	0	6	0	5108	0	0	0	0	35	42638	0	51126	0	0	0	0	20	19772	0	20	0	10	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	0	43829	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Corynebacteriales;Tsukamurellaceae;Tsukamurella"	ASV54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Frankiales;Sporichthyaceae;Sporichthya"	ASV494	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Kineosporiales;Kineosporiaceae;Kineococcus"	ASV490	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Bogoriellaceae;Georgenia"	ASV513	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Brevibacteriaceae;Brevibacterium"	ASV29	0	0	0	6	28	0	0	4414	0	0	8313	0	11	83	117	0	0	8	0	253	0	109	0	0	0	130	0	0	8	32	0	1519	0	3	0	0	0	10	8	0	0	0	0	0	0	817	0	0	0	0	0	0	510	24	413	0	0	0	1154	65	0	0	158	0	0	0	0	0	0	0	0	761	0	13	0	12110	0	110	451	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Brevibacteriaceae;Brevibacterium"	ASV79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1436	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	20	0	2	0	0	487	0	0	0	0	0	0	0
"Bacteria;Actinobacteria;Actinobacteria_c;Micrococcales;Brevibacteriaceae;Brevibacterium"	ASV328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
